--- TABLA: PERSONA ---
dni|nombre|apellido|edad|nacionalidad
10000000W|Nombre_0|Apellido_0|25|Argentina
10000001K|Nombre_1|Apellido_1|29|Mexicana
10000002E|Nombre_2|Apellido_2|48|Española
10000003V|Nombre_3|Apellido_3|46|Chilena
10000004R|Nombre_4|Apellido_4|48|Española
10000005J|Nombre_5|Apellido_5|54|Española
10000006D|Nombre_6|Apellido_6|62|Chilena
10000007T|Nombre_7|Apellido_7|47|Chilena
10000008W|Nombre_8|Apellido_8|61|Mexicana
10000009V|Nombre_9|Apellido_9|34|Española
10000010M|Nombre_10|Apellido_10|42|Española
10000011R|Nombre_11|Apellido_11|50|Colombiana
10000012E|Nombre_12|Apellido_12|74|Española
10000013K|Nombre_13|Apellido_13|84|Chilena
10000014S|Nombre_14|Apellido_14|44|Española
10000015Z|Nombre_15|Apellido_15|53|Chilena
10000016G|Nombre_16|Apellido_16|65|Chilena
10000017E|Nombre_17|Apellido_17|80|Chilena
10000018Z|Nombre_18|Apellido_18|29|Argentina
10000019S|Nombre_19|Apellido_19|49|Chilena
10000020V|Nombre_20|Apellido_20|30|Colombiana
10000021C|Nombre_21|Apellido_21|23|Chilena
10000022L|Nombre_22|Apellido_22|22|Colombiana
10000023R|Nombre_23|Apellido_23|61|Chilena
10000024M|Nombre_24|Apellido_24|60|Chilena
10000025N|Nombre_25|Apellido_25|41|Argentina
10000026A|Nombre_26|Apellido_26|29|Argentina
10000027S|Nombre_27|Apellido_27|79|Española
10000028P|Nombre_28|Apellido_28|37|Colombiana
10000029L|Nombre_29|Apellido_29|18|Argentina
10000030Y|Nombre_30|Apellido_30|72|Colombiana
10000031M|Nombre_31|Apellido_31|54|Colombiana
10000032D|Nombre_32|Apellido_32|74|Colombiana
10000033N|Nombre_33|Apellido_33|25|Mexicana
10000034Z|Nombre_34|Apellido_34|77|Española
10000035M|Nombre_35|Apellido_35|23|Mexicana
10000036N|Nombre_36|Apellido_36|47|Mexicana
10000037L|Nombre_37|Apellido_37|48|Argentina
10000038L|Nombre_38|Apellido_38|56|Mexicana
10000039D|Nombre_39|Apellido_39|48|Española
10000040W|Nombre_40|Apellido_40|20|Colombiana
10000041N|Nombre_41|Apellido_41|39|Argentina
10000042L|Nombre_42|Apellido_42|53|Mexicana
10000043V|Nombre_43|Apellido_43|34|Española
10000044Y|Nombre_44|Apellido_44|29|Española
10000045E|Nombre_45|Apellido_45|41|Mexicana
10000046C|Nombre_46|Apellido_46|71|Argentina
10000047D|Nombre_47|Apellido_47|57|Mexicana
10000048A|Nombre_48|Apellido_48|34|Colombiana
10000049R|Nombre_49|Apellido_49|47|Chilena
10000050W|Nombre_50|Apellido_50|23|Argentina
10000051Q|Nombre_51|Apellido_51|27|Española
10000052Z|Nombre_52|Apellido_52|57|Colombiana
10000053T|Nombre_53|Apellido_53|40|Argentina
10000054B|Nombre_54|Apellido_54|81|Mexicana
10000055G|Nombre_55|Apellido_55|34|Española
10000056X|Nombre_56|Apellido_56|22|Mexicana
10000057W|Nombre_57|Apellido_57|83|Colombiana
10000058V|Nombre_58|Apellido_58|43|Española
10000059F|Nombre_59|Apellido_59|77|Española
10000060R|Nombre_60|Apellido_60|37|Chilena
10000061R|Nombre_61|Apellido_61|75|Mexicana
10000062E|Nombre_62|Apellido_62|23|Chilena
10000063P|Nombre_63|Apellido_63|67|Mexicana
10000064H|Nombre_64|Apellido_64|21|Mexicana
10000065G|Nombre_65|Apellido_65|77|Chilena
10000066M|Nombre_66|Apellido_66|39|Argentina
10000067V|Nombre_67|Apellido_67|37|Mexicana
10000068B|Nombre_68|Apellido_68|38|Mexicana
10000069M|Nombre_69|Apellido_69|71|Mexicana
10000070V|Nombre_70|Apellido_70|29|Colombiana
10000071K|Nombre_71|Apellido_71|38|Chilena
10000072C|Nombre_72|Apellido_72|33|Española
10000073R|Nombre_73|Apellido_73|77|Argentina
10000074B|Nombre_74|Apellido_74|51|Mexicana
10000075N|Nombre_75|Apellido_75|54|Chilena
10000076H|Nombre_76|Apellido_76|74|Española
10000077L|Nombre_77|Apellido_77|46|Mexicana
10000078Q|Nombre_78|Apellido_78|50|Chilena
10000079N|Nombre_79|Apellido_79|55|Española
10000080V|Nombre_80|Apellido_80|43|Chilena
10000081W|Nombre_81|Apellido_81|56|Chilena
10000082H|Nombre_82|Apellido_82|18|Mexicana
10000083D|Nombre_83|Apellido_83|29|Chilena
10000084X|Nombre_84|Apellido_84|40|Mexicana
10000085V|Nombre_85|Apellido_85|26|Argentina
10000086W|Nombre_86|Apellido_86|85|Española
10000087D|Nombre_87|Apellido_87|79|Argentina
10000088L|Nombre_88|Apellido_88|24|Argentina
10000089H|Nombre_89|Apellido_89|73|Mexicana
10000090Q|Nombre_90|Apellido_90|24|Chilena
10000091E|Nombre_91|Apellido_91|81|Argentina
10000092Y|Nombre_92|Apellido_92|69|Española
10000093H|Nombre_93|Apellido_93|27|Chilena
10000094R|Nombre_94|Apellido_94|21|Española
10000095K|Nombre_95|Apellido_95|78|Chilena
10000096W|Nombre_96|Apellido_96|82|Argentina
10000097Y|Nombre_97|Apellido_97|32|Mexicana
10000098X|Nombre_98|Apellido_98|39|Colombiana
10000099J|Nombre_99|Apellido_99|34|Chilena
10000100Z|Nombre_100|Apellido_100|84|Colombiana
10000101D|Nombre_101|Apellido_101|59|Argentina
10000102G|Nombre_102|Apellido_102|44|Mexicana
10000103K|Nombre_103|Apellido_103|56|Chilena
10000104T|Nombre_104|Apellido_104|70|Argentina
10000105J|Nombre_105|Apellido_105|22|Chilena
10000106A|Nombre_106|Apellido_106|63|Española
10000107A|Nombre_107|Apellido_107|61|Chilena
10000108X|Nombre_108|Apellido_108|23|Mexicana
10000109N|Nombre_109|Apellido_109|59|Española
10000110E|Nombre_110|Apellido_110|61|Colombiana
10000111Y|Nombre_111|Apellido_111|30|Española
10000112T|Nombre_112|Apellido_112|76|Colombiana
10000113T|Nombre_113|Apellido_113|39|Española
10000114X|Nombre_114|Apellido_114|32|Argentina
10000115G|Nombre_115|Apellido_115|40|Chilena
10000116Z|Nombre_116|Apellido_116|64|Española
10000117M|Nombre_117|Apellido_117|28|Mexicana
10000118A|Nombre_118|Apellido_118|37|Chilena
10000119L|Nombre_119|Apellido_119|85|Mexicana
10000120R|Nombre_120|Apellido_120|29|Colombiana
10000121A|Nombre_121|Apellido_121|23|Española
10000122P|Nombre_122|Apellido_122|42|Argentina
10000123Y|Nombre_123|Apellido_123|26|Mexicana
10000124C|Nombre_124|Apellido_124|64|Colombiana
10000125Y|Nombre_125|Apellido_125|51|Mexicana
10000126Q|Nombre_126|Apellido_126|34|Española
10000127E|Nombre_127|Apellido_127|43|Colombiana
10000128N|Nombre_128|Apellido_128|59|Colombiana
10000129P|Nombre_129|Apellido_129|31|Española
10000130J|Nombre_130|Apellido_130|37|Argentina
10000131E|Nombre_131|Apellido_131|65|Chilena
10000132X|Nombre_132|Apellido_132|44|Argentina
10000133R|Nombre_133|Apellido_133|65|Mexicana
10000134N|Nombre_134|Apellido_134|58|Mexicana
10000135G|Nombre_135|Apellido_135|62|Colombiana
10000136X|Nombre_136|Apellido_136|22|Española
10000137F|Nombre_137|Apellido_137|69|Mexicana
10000138E|Nombre_138|Apellido_138|77|Argentina
10000139D|Nombre_139|Apellido_139|62|Argentina
10000140N|Nombre_140|Apellido_140|57|Chilena
10000141Y|Nombre_141|Apellido_141|45|Argentina
10000142G|Nombre_142|Apellido_142|18|Argentina
10000143L|Nombre_143|Apellido_143|73|Colombiana
10000144A|Nombre_144|Apellido_144|24|Chilena
10000145Y|Nombre_145|Apellido_145|23|Mexicana
10000146R|Nombre_146|Apellido_146|54|Española
10000147A|Nombre_147|Apellido_147|82|Mexicana
10000148J|Nombre_148|Apellido_148|56|Argentina
10000149Y|Nombre_149|Apellido_149|72|Española
10000150K|Nombre_150|Apellido_150|24|Argentina
10000151T|Nombre_151|Apellido_151|53|Chilena
10000152N|Nombre_152|Apellido_152|39|Española
10000153B|Nombre_153|Apellido_153|44|Española
10000154R|Nombre_154|Apellido_154|27|Española
10000155K|Nombre_155|Apellido_155|32|Mexicana
10000156E|Nombre_156|Apellido_156|84|Colombiana
10000157P|Nombre_157|Apellido_157|68|Chilena
10000158Q|Nombre_158|Apellido_158|35|Chilena
10000159K|Nombre_159|Apellido_159|71|Argentina
10000160T|Nombre_160|Apellido_160|77|Chilena
10000161T|Nombre_161|Apellido_161|73|Argentina
10000162P|Nombre_162|Apellido_162|62|Mexicana
10000163G|Nombre_163|Apellido_163|19|Mexicana
10000164J|Nombre_164|Apellido_164|30|Chilena
10000165K|Nombre_165|Apellido_165|61|Chilena
10000166F|Nombre_166|Apellido_166|74|Mexicana
10000167R|Nombre_167|Apellido_167|25|Mexicana
10000168S|Nombre_168|Apellido_168|75|Mexicana
10000169F|Nombre_169|Apellido_169|41|Mexicana
10000170T|Nombre_170|Apellido_170|46|Mexicana
10000171R|Nombre_171|Apellido_171|71|Argentina
10000172A|Nombre_172|Apellido_172|41|Española
10000173X|Nombre_173|Apellido_173|77|Mexicana
10000174K|Nombre_174|Apellido_174|42|Mexicana
10000175S|Nombre_175|Apellido_175|30|Colombiana
10000176D|Nombre_176|Apellido_176|52|Chilena
